,accuracy,precision_weighted,recall_weighted,f1_weighted,cohen_kappa
bert-base-uncased,0.11620111731843576,0.027735301942005856,0.11620111731843576,0.04146179239754658,-0.0006054038774114812
distilbert-base-uncased,0.11843575418994413,0.028657267930387007,0.11843575418994413,0.03910917112097201,0.0042239900826560595
roberta-base,0.11433891992551211,0.013073388609732669,0.11433891992551211,0.023463936107708704,0.0
albert-base-v2,0.11322160148975792,0.018782742286131946,0.11322160148975792,0.024720660996373132,-0.0013130027525600774
xlnet-base-cased,0.10912476722532588,0.024017444795899706,0.10912476722532588,0.035809779710674706,-0.006467384916748253
