Unnamed: 0,accuracy,precision_weighted,recall_weighted,f1_weighted,cohen_kappa,Topsis Score,Rank
bert-base-uncased,0.1162011173184357,0.0277353019420058,0.1162011173184357,0.0414617923975465,-0.0006054038774114,0.42454141377379806,4.0
distilbert-base-uncased,0.1184357541899441,0.028657267930387,0.1184357541899441,0.039109171120972,0.004223990082656,0.02164341977497046,5.0
roberta-base,0.1143389199255121,0.0130733886097326,0.1143389199255121,0.0234639361077087,0.0,0.44517705103714206,3.0
albert-base-v2,0.1132216014897579,0.0187827422861319,0.1132216014897579,0.0247206609963731,-0.00131300275256,0.5341887331846766,2.0
xlnet-base-cased,0.1091247672253258,0.0240174447958997,0.1091247672253258,0.0358097797106747,-0.0064673849167482,0.8365440493799697,1.0
